,invalid
0,11
1,18
2,911
3,915
4,922
5,953
6,956
7,5021
8,7166
9,7169
10,7171
11,7224
12,8986
13,8988
14,10435
15,12571
16,12767
17,12768
18,12769
19,12775
20,13223
21,13227
22,23925
23,25022
24,26319
25,26332
26,27873
27,38861
28,40311
29,41119
30,41745
31,43735
32,55714
33,55715
34,55716
35,55717
36,55718
37,55719
38,55737
39,55738
40,55739
41,55740
42,55741
43,55742
44,55743
45,55744
46,55745
47,55746
48,59512
49,59513
50,59515
51,60874
52,62665
53,64323
54,66318
55,66421
56,66449
57,69037
58,71560
59,71720
60,74632
61,75772
62,75831
63,75893
64,76336
65,76870
66,76871
67,76930
68,77107
69,77195
70,77806
71,77809
72,79783
73,79785
74,79787
75,79789
76,79796
77,79797
78,79801
79,79806
80,79815
81,79818
82,79820
83,79821
84,79822
85,79826
86,79827
87,79829
88,79831
89,79833
90,80440
91,80446
92,80450
93,80730
94,86235
95,86258
96,86260
97,86262
98,86269
99,86304
100,86307
101,86308
102,86336
103,86366
104,86367
105,86369
106,86370
107,86371
108,86374
109,86375
110,86376
111,86377
112,86378
113,86379
114,86381
115,86769
116,87064
117,87350
118,87602
119,87603
120,87605
121,87610
122,87611
123,87619
124,87620
125,87638
126,87684
127,87686
128,87688
129,87689
130,87690
131,87693
132,87702
133,87703
134,87718
135,87720
136,87721
137,87722
138,87723
139,87724
140,87732
141,87736
142,87737
143,87738
144,87739
145,87740
146,87741
147,87742
148,87743
149,87744
150,87745
151,87746
152,87765
153,87767
154,87769
155,87794
156,87797
157,87800
158,87801
159,87802
160,87803
161,87804
162,87805
163,87806
164,87807
165,87808
166,87809
167,87810
168,87811
169,87812
170,87814
171,87815
172,87816
173,87828
174,87864
175,87865
176,87866
177,87869
178,87870
179,87871
180,87878
181,87893
182,87958
183,88030
184,88031
185,88032
186,88033
187,88034
188,88043
189,88078
190,88079
191,90896
192,91290
193,91344
194,91345
195,91349
196,91350
197,91351
198,91357
199,91380
200,91396
201,91518
202,91521
203,92415
204,92699
205,92723
206,92831
207,92856
208,92865
209,92874
210,92877
211,92882
212,93339
213,93646
214,97258
215,97259
216,97260
217,98271
218,98274
219,98324
220,98509
221,101896
222,102013
223,102031
224,102934
225,102939
226,102990
227,103003
228,103009
229,103443
230,103975
231,103976
232,104017
233,108718
234,109164
235,109193
236,112115
237,112117
238,112118
239,112234
240,112305
241,113235
242,113238
243,113239
244,113335
245,113394
246,113398
247,113425
248,119687
249,119768
250,119783
251,121815
252,122176
253,123747
254,123748
255,123749
256,123750
257,123751
258,123752
259,123753
260,123754
261,123755
262,123756
263,123835
264,125767
265,126177
266,127363
267,128555
268,132071
269,132204
270,132430
271,132806
272,132911
273,133311
274,133776
275,134108
276,134372
277,134374
278,134704
279,134757
280,137118
281,137128
282,137140
283,137151
284,137216
285,137230
286,137252
287,137346
288,137374
289,137377
290,137734
291,137747
292,139422
293,143761
294,143762
295,144407
296,144428
297,144641
298,146415
299,147208
300,147558
301,147716
302,148325
303,148332
304,149153
305,153475
306,167703
307,169606
308,170402
309,173365
310,173878
311,174351
312,174352
313,174354
314,174361
315,174363
316,174399
317,174701
318,175017
319,175614
320,175615
321,175616
322,177978
323,178003
324,178012
325,178224
326,178227
327,178314
328,178625
329,178815
330,179572
331,180379
332,180380
333,180405
334,180409
335,180430
336,180431
337,180432
338,180434
339,180440
340,180445
341,180446
342,180447
343,181012
344,181753
345,182244
346,182252
347,182287
348,182302
349,182852
350,183108
351,183303
352,183307
353,183806
354,183834
355,183858
356,184106
357,185241
358,187803
359,188611
360,188720
361,188721
362,188838
363,188889
364,191159
365,191177
366,195299
367,195439
368,196946
369,197481
370,202583
371,202776
372,218117
373,218128
374,219715
375,219721
376,220055
377,220081
378,221289
379,227634
380,231074
381,231080
382,231770
383,231897
384,232092
385,232275
386,232943
387,233529
388,235334
389,236461
390,238560
391,239994
392,247329
393,247330
394,250877
395,254907
396,255569
397,255595
398,266427
399,271128
400,272515
401,274458
402,284177
403,285951
404,285952
405,285963
406,285966
407,285967
408,285977
409,285978
410,286031
411,286067
412,286068
413,286069
414,286081
415,286086
416,286088
417,286090
418,286091
419,286093
420,286094
421,286125
422,286128
423,286131
424,286135
425,286137
426,286138
427,286140
428,286143
429,286144
430,286146
431,286151
432,286156
433,286158
434,286161
435,286165
436,286166
437,286169
438,286272
439,286274
440,286276
441,286424
442,288527
443,288571
444,288578
445,288596
446,288607
447,288608
448,288610
449,288612
450,288614
451,290105
452,290264
453,291266
454,291268
455,291738
456,293283
457,293492
458,295901
459,299148
460,303067
461,303071
462,303084
463,303098
464,303196
465,303197
466,303199
467,303200
468,303201
469,303202
470,303203
471,303204
472,303205
473,303206
474,303207
475,303208
476,303211
477,303212
478,303213
479,303214
480,303215
481,303216
482,303218
483,303235
484,303262
485,303263
486,303264
487,303265
488,303266
489,303267
490,303268
491,303269
492,303270
493,303271
494,303273
495,303274
496,303275
497,303276
498,303277
499,303278
500,303279
501,303280
502,303281
503,303282
504,303283
505,303284
506,303286
507,303287
508,303288
509,303354
510,303358
511,303359
512,303360
513,303361
514,303362
515,303364
516,303365
517,303366
518,303367
519,303368
520,303369
521,303370
522,303371
523,303372
524,303373
525,303374
526,303375
527,303376
528,303377
529,303378
530,303379
531,303380
532,303394
533,303395
534,303396
535,303397
536,303399
537,303400
538,303402
539,303428
540,303429
541,303430
542,303431
543,303458
544,303459
545,303540
546,303899
547,303901
548,303903
549,303905
550,303907
551,303908
552,303914
553,303917
554,303939
555,305921
556,311135
557,311671
558,311692
559,311800
560,312111
561,312135
562,312140
563,312161
564,327059
565,327601
566,327617
567,327767
568,327815
569,327816
570,334984
571,335216
572,337633
573,337704
574,338755
575,339928
576,339956
577,340075
578,340076
579,344471
580,349329
581,357312
582,357369
583,365725
584,366229
585,367329
586,372173
587,372546
588,372550
589,378836
590,378837
591,379316
592,379866
593,381003
594,381682
595,381725
596,381742
597,381747
598,381810
599,381812
600,381835
601,381839
602,381842
603,382013
604,382036
605,384843
606,385964
607,386322
608,386323
609,386324
610,386325
611,386326
612,386327
613,386328
614,386329
615,386330
616,386331
617,386332
618,386333
619,386334
620,386335
621,386336
622,386337
623,386338
624,386339
625,386340
626,386341
627,386342
628,386344
629,386345
630,386347
631,386348
632,386349
633,386350
634,386351
635,386352
636,386353
637,386354
638,386356
639,386372
640,386375
641,386376
642,386377
643,386378
644,386379
645,386380
646,386382
647,386383
648,386384
649,386385
650,386386
651,386387
652,386389
653,386390
654,386391
655,386392
656,386393
657,386394
658,386395
659,386396
660,386397
661,386398
662,386405
663,386406
664,386408
665,386409
666,386410
667,386417
668,386427
669,386428
670,386429
671,386430
672,386431
673,386432
674,386433
675,386434
676,386435
677,386436
678,386437
679,386438
680,386439
681,386440
682,386441
683,386442
684,386443
685,386444
686,386445
687,386446
688,386447
689,386448
690,386449
691,386450
692,386451
693,386452
694,386454
695,386455
696,386456
697,386457
698,386458
699,386459
700,386460
701,386461
702,387253
703,387319
704,387923
705,388066
706,388307
707,390634
708,390648
709,390649
710,392243
711,395735
712,397950
713,397951
714,397953
715,397954
716,397957
717,397958
718,397960
719,397962
720,397963
721,397972
722,397974
723,397976
724,397978
725,397979
726,397980
727,397982
728,397983
729,397984
730,397985
731,397987
732,397988
733,397989
734,397991
735,397992
736,397993
737,397994
738,397996
739,397998
740,398051
741,398052
742,398080
743,398081
744,398083
745,398084
746,398118
747,398121
748,398122
749,398125
750,398130
751,398131
752,398140
753,398150
754,398181
755,398191
756,398207
757,398208
758,398210
759,398211
760,398213
761,398214
762,398229
763,398230
764,398236
765,398237
766,398239
767,398240
768,398241
769,398243
770,398244
771,398247
772,398249
773,398250
774,398252
775,398253
776,398255
777,398256
778,398260
779,398261
780,398263
781,398264
782,398266
783,398267
784,398268
785,398270
786,398272
787,398273
788,398277
789,398279
790,398280
791,398282
792,398284
793,398285
794,398291
795,398292
796,398295
797,398300
798,398302
799,398304
800,398306
801,405412
802,406225
803,407682
804,407685
805,407690
806,407797
807,407882
808,407896
809,407897
810,407898
811,407899
812,407900
813,407901
814,407902
815,407903
816,407904
817,407905
818,407906
819,407907
820,407908
821,407909
822,407910
823,407911
824,408099
825,410872
826,411027
827,411028
828,411209
829,411494
830,411767
831,412391
832,412473
833,412474
834,412606
835,412676
836,413880
837,413896
838,413907
839,413991
840,414701
841,414791
842,418229
843,419860
844,420611
845,420628
846,420787
847,423871
848,423905
849,424038
850,424203
851,424221
852,429947
853,429948
854,431220
855,432431
856,443265
857,443273
858,443526
859,443570
860,443599
861,449983
862,450032
863,450033
864,450049
865,450050
866,450993
867,458026
868,459046
869,470945
870,471912
871,472848
872,475112
873,476534
874,478154
875,478297
876,478299
877,483822
878,484275
879,485563
880,488647
